id_sortie,sentiment,confidence
172901,neutral,0.0
172900,positive,0.448
172897,neutral,0.0
172896,neutral,0.0
172895,neutral,0.05
172894,neutral,0.0
172893,positive,0.298
172892,neutral,0.0
172891,neutral,0.0
172887,positive,0.306
172885,negative,0.187
172884,neutral,0.0
172883,positive,0.483
172882,neutral,0.0
172881,neutral,0.1
172880,neutral,0.0
172879,neutral,0.0
172878,neutral,0.087
172877,neutral,0.0
172876,positive,0.384
172875,positive,0.449
172874,neutral,0.0
172872,neutral,0.0
172871,positive,0.357
172870,positive,0.713
172869,neutral,0.0
172868,neutral,0.1
172867,positive,0.417
172866,positive,0.5
172865,neutral,0.0
172864,neutral,0.0
172863,positive,0.5
172862,positive,0.547
172861,positive,0.5
172860,neutral,0.0
172859,positive,0.225
172857,neutral,0.0
172856,positive,0.283
172855,neutral,0.062
172854,neutral,0.0
172853,neutral,0.0
172852,neutral,0.0
172851,positive,0.25
172850,neutral,0.0
172849,positive,0.25
172848,neutral,0.0
172846,neutral,0.05
172845,neutral,0.0
172844,positive,0.335
172843,positive,0.5
172841,neutral,0.0
172840,positive,0.321
172839,neutral,0.0
172838,neutral,0.021
172837,positive,0.5
172836,neutral,0.0
172835,neutral,0.0
172834,neutral,0.0
172833,neutral,0.033
172832,positive,0.2
172831,neutral,0.0
172830,neutral,0.0
172829,positive,0.189
172828,neutral,0.017
172827,positive,0.425
172826,neutral,0.0
172825,positive,0.323
172824,neutral,0.0
172823,neutral,0.0
172822,positive,0.5
172820,positive,0.625
172818,neutral,0.0
172817,neutral,0.0
172816,negative,0.469
172815,neutral,0.0
172814,positive,0.487
172813,neutral,0.0
172811,positive,0.205
172810,neutral,0.0
172809,neutral,0.062
172808,positive,0.25
172807,neutral,0.0
172806,neutral,0.0
172805,neutral,0.062
172804,positive,1.0
172803,neutral,0.029
172802,neutral,0.0
172801,neutral,0.0
172800,positive,0.333
172799,positive,0.384
172798,positive,0.119
172797,positive,0.4
172796,neutral,0.0
172794,neutral,0.0
172793,neutral,0.0
172792,positive,0.333
172791,neutral,0.069
172790,positive,0.333
172789,neutral,0.0
172788,positive,0.312
