,0
temp_max_forecast,600
temp_min_forecast,515
topo_denivele,449
temp_amp_7d_avg,438
summit_altitude_clean,417
temp_min_7d_avg,398
snowfall_7d_sum,351
wind_max_7d,337
topo_difficulty,329
temp_max_7d_avg,309
wind_forecast,288
day_of_week,227
massif,198
freeze_thaw_cycles_7d,178
snowfall_forecast,162
north_facing,87
days_since_last_snow,85
mid_angle,42
east_facing,30
month,28
west_facing,26
south_facing,25
is_weekend,14
steep,0
low_angle,0
recent_snow_7d,0
meteo_available,0
