time,temperature_2m,relative_humidity_2m,wind_speed_10m,shortwave_radiation,precipitation,snowfall,cloudcover,latitude,longitude
2025-12-10 19:00:00,6.4,91,9.2,0.0,0.0,0.0,97,44.0,5.6
2025-12-10 20:00:00,5.8,92,9.7,0.0,0.0,0.0,88,44.0,5.6
2025-12-10 21:00:00,5.2,93,10.2,0.0,0.0,0.0,81,44.0,5.6
2025-12-10 22:00:00,4.9,91,10.5,0.0,0.0,0.0,81,44.0,5.6
2025-12-10 23:00:00,4.5,92,10.6,0.0,0.0,0.0,0,44.0,5.6
2025-12-10 00:00:00,4.2,95,7.0,0.0,0.0,0.0,57,44.0,5.9
2025-12-10 01:00:00,5.8,95,7.1,0.0,0.0,0.0,86,44.0,5.9
2025-12-10 02:00:00,6.5,94,6.1,0.0,0.0,0.0,90,44.0,5.9
2025-12-10 03:00:00,6.6,93,4.8,0.0,0.0,0.0,86,44.0,5.9
2025-12-10 04:00:00,6.9,88,8.2,0.0,0.0,0.0,69,44.0,5.9
2025-12-10 05:00:00,6.2,87,8.5,0.0,0.0,0.0,49,44.0,5.9
2025-12-10 06:00:00,6.0,88,7.6,0.0,0.0,0.0,81,44.0,5.9
2025-12-10 07:00:00,5.9,91,7.2,0.0,0.0,0.0,55,44.0,5.9
2025-12-10 08:00:00,5.6,94,7.6,0.0,0.0,0.0,75,44.0,5.9
2025-12-10 09:00:00,6.2,91,7.6,26.5,0.0,0.0,83,44.0,5.9
2025-12-10 10:00:00,7.4,84,6.4,107.0,0.0,0.0,60,44.0,5.9
2025-12-10 11:00:00,8.6,79,6.3,254.5,0.0,0.0,40,44.0,5.9
2025-12-10 12:00:00,10.3,74,4.6,337.2,0.0,0.0,14,44.0,5.9
2025-12-10 13:00:00,11.6,62,3.3,373.8,0.0,0.0,0,44.0,5.9
2025-12-10 14:00:00,12.3,63,3.3,347.8,0.0,0.0,2,44.0,5.9
2025-12-10 15:00:00,12.2,67,4.6,268.2,0.0,0.0,0,44.0,5.9
2025-12-10 16:00:00,11.8,69,2.9,154.5,0.0,0.0,66,44.0,5.9
2025-12-10 17:00:00,10.6,75,0.8,35.0,0.0,0.0,93,44.0,5.9
2025-12-10 18:00:00,8.3,84,7.0,0.0,0.0,0.0,100,44.0,5.9
2025-12-10 19:00:00,6.4,92,7.7,0.0,0.0,0.0,100,44.0,5.9
2025-12-10 20:00:00,5.9,93,6.8,0.0,0.0,0.0,100,44.0,5.9
2025-12-10 21:00:00,5.3,94,6.5,0.0,0.0,0.0,79,44.0,5.9
2025-12-10 22:00:00,4.7,95,6.6,0.0,0.0,0.0,73,44.0,5.9
2025-12-10 23:00:00,4.4,95,6.6,0.0,0.0,0.0,11,44.0,5.9
2025-12-10 00:00:00,6.0,100,3.3,0.0,0.0,0.0,88,44.0,6.1999993
2025-12-10 01:00:00,4.7,86,5.4,0.0,0.0,0.0,44,44.0,6.1999993
2025-12-10 02:00:00,3.3,90,5.8,0.0,0.0,0.0,0,44.0,6.1999993
2025-12-10 03:00:00,2.9,94,5.1,0.0,0.0,0.0,0,44.0,6.1999993
2025-12-10 04:00:00,2.1,98,5.5,0.0,0.0,0.0,79,44.0,6.1999993
2025-12-10 05:00:00,2.1,94,6.1,0.0,0.0,0.0,59,44.0,6.1999993
2025-12-10 06:00:00,2.2,91,6.1,0.0,0.0,0.0,39,44.0,6.1999993
2025-12-10 07:00:00,1.9,92,5.8,0.0,0.0,0.0,11,44.0,6.1999993
2025-12-10 08:00:00,1.7,92,5.4,0.0,0.0,0.0,4,44.0,6.1999993
2025-12-10 09:00:00,3.0,89,5.2,40.2,0.0,0.0,4,44.0,6.1999993
2025-12-10 10:00:00,5.9,79,3.0,160.8,0.0,0.0,0,44.0,6.1999993
2025-12-10 11:00:00,8.3,69,0.8,276.0,0.0,0.0,0,44.0,6.1999993
2025-12-10 12:00:00,10.3,68,1.4,351.0,0.0,0.0,0,44.0,6.1999993
2025-12-10 13:00:00,12.2,58,4.3,377.0,0.0,0.0,0,44.0,6.1999993
2025-12-10 14:00:00,12.8,64,6.7,349.0,0.0,0.0,0,44.0,6.1999993
2025-12-10 15:00:00,12.5,67,7.3,264.2,0.0,0.0,100,44.0,6.1999993
